,track_name,track_artists,artist_genres,artist_popularity,track_album,track_duration,album_release:yyyy,album_release:mm,album_release:dd,artist_image,track_image,added_by,added_at
0,Guilty Love,['ZHU'],"['edm', 'electro house']",[71],RINGOS DESERT,4.554283333333333,2018,09,07,['https://i.scdn.co/image/ab676161000051745cc7aca0b30b4214a4dc154e'],https://i.scdn.co/image/ab67616d00001e0277077d99bb417d23d2f58afa,Daniel Xenes,2022-01-27T16:32:12Z
1,still feel.,['half•alive'],"['alt z', 'indie pop', 'modern alternative rock', 'modern rock']",[66],"Now, Not Yet",4.129766666666667,2019,08,09,['https://i.scdn.co/image/ab6761610000517496e43e6e2f4206b3e937334d'],https://i.scdn.co/image/ab67616d00001e02f89d2d949f9671982e9e732c,Daniel Xenes,2022-01-27T16:32:12Z
2,4:00A.M.,['Taeko Onuki'],"['anime', 'classic city pop', 'japanese new wave', 'techno kayo']",[62],MIGNONNE (Mastered by Bernie Grundman),5.616,1978,09,21,['https://i.scdn.co/image/ab6761610000517475061a179925888af1477606'],https://i.scdn.co/image/ab67616d00001e02653cd3e7a318ccd0c86cac26,Daniel Xenes,2022-01-27T16:32:12Z
3,Gimme! Gimme! Gimme! (A Man After Midnight),['ABBA'],"['europop', 'swedish pop']",[83],Voulez-Vous,4.876883333333334,1979,,,['https://i.scdn.co/image/ab67616100005174118de0c58b11e1fd54b66640'],https://i.scdn.co/image/ab67616d00001e02aa22899360d8ba6704732dec,Daniel Xenes,2022-01-27T16:32:12Z
4,Won't Be Gone Long,['GRiZ'],"['edm', 'electropop', 'jamtronica', 'jazztronica', 'livetronica']",[65],"Chasing The Golden Hour, Pt. 3",3.744666666666667,2020,09,17,['https://i.scdn.co/image/ab6761610000517470fa7f3e6cb3df4c100fd43a'],https://i.scdn.co/image/ab67616d00001e02a3718b50971e77e5ac40d45c,Daniel Xenes,2022-01-27T16:32:12Z
5,Black Thumbnail,['Kings of Leon'],"['modern rock', 'rock']",[78],Because Of The Times,3.9924333333333335,2007,04,02,['https://i.scdn.co/image/ab676161000051748fbd402cfd8cc6ce926a2229'],https://i.scdn.co/image/ab67616d00001e0287ac8463e02cd86380ff6b47,Daniel Xenes,2022-01-27T16:32:12Z
6,Grito de Paz,['Bixiga 70'],"['afrobeat brasileiro', 'afrofuturismo brasileiro', 'brass band brasileiro', 'brazilian indie', 'instrumental funk', 'latin afrobeat', 'nova mpb']",[45],Bixiga 70 (2011),4.4366666666666665,2011,12,11,['https://i.scdn.co/image/ab6761610000517464d4fedaf778ad1953c74830'],https://i.scdn.co/image/ab67616d00001e027e230df7b35bac1a64e6707e,Daniel Xenes,2022-01-27T16:32:12Z
7,Back To Oz,"['Sufjan Stevens', 'Angelo De Augustine']","['baroque pop', 'chamber pop', 'freak folk', 'indie folk', 'singer-songwriter', 'indie folk', 'indie pop', 'small room']","[75, 60]",Back to Oz / Fictional California,4.200866666666666,2021,08,10,"['https://i.scdn.co/image/ab676161000051746bb28451de514ef1f3c5bf30', 'https://i.scdn.co/image/ab67616100005174adb884337a72379a4a4fbc0d']",https://i.scdn.co/image/ab67616d00001e022d33642a45418d0bb704d669,Daniel Xenes,2022-01-27T16:32:12Z
8,Soft Spot,['Claud'],"['bedroom pop', 'indie pop']",[58],Super Monster,3.13495,2021,02,12,['https://i.scdn.co/image/ab67616100005174f9a090f6351e012210595589'],https://i.scdn.co/image/ab67616d00001e02980bcb64e708dcff98093cdf,Daniel Xenes,2022-01-27T16:32:12Z
9,Prisencolinensinainciusol,['Adriano Celentano'],"['classic italian pop', 'italian adult pop']",[61],Super Best,3.8177833333333333,1992,,,['https://i.scdn.co/image/ab67616d00001e02cca8e4f480faca1e75815237'],https://i.scdn.co/image/ab67616d00001e02c264eb7e4dde99d600611650,Daniel Xenes,2022-01-27T16:32:12Z
